TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
ATL,C,2023-24,16.5,6.166666666666667,3.1666666666666665,0.6666666666666666,16,25,23,23
ATL,C,2024-25,18.5,5.75,2.5,1.5,11,19,22,12
ATL,C,2025-26,24.0,7.666666666666667,4.333333333333333,1.0,13,20,17,18
ATL,F,2023-24,7.0,4.125,0.75,0.5,9,6,21,9
ATL,F,2024-25,7.285714285714286,2.857142857142857,1.7142857142857142,0.7142857142857143,14,20,5,26
ATL,F,2025-26,9.555555555555555,3.0,0.6666666666666666,1.4444444444444444,10,27,28,7
BKN,C,2023-24,22.6,8.4,4.4,1.6,3,15,8,6
BKN,C,2024-25,12.666666666666666,8.333333333333334,2.6666666666666665,1.0,23,5,20,19
BKN,C,2025-26,27.333333333333332,7.333333333333333,6.666666666666667,2.6666666666666665,6,21,3,3
BKN,F,2023-24,7.142857142857143,2.2857142857142856,1.5714285714285714,0.2857142857142857,8,27,2,20
BKN,F,2024-25,6.6,3.8,1.4666666666666666,0.4666666666666667,19,10,9,30
BKN,F,2025-26,8.142857142857142,3.0,0.8571428571428571,0.8571428571428571,18,27,24,24
BOS,C,2023-24,9.5,15.5,5.0,0.0,30,1,3,29
BOS,C,2024-25,14.0,7.5,4.0,1.0,20,10,9,19
BOS,C,2025-26,18.5,9.5,6.0,1.0,19,10,6,18
BOS,F,2023-24,9.0,3.142857142857143,1.2857142857142858,0.42857142857142855,4,19,8,13
BOS,F,2024-25,5.0,4.142857142857143,1.0,0.8571428571428571,29,6,21,16
BOS,F,2025-26,8.666666666666666,3.7777777777777777,0.7777777777777778,1.5555555555555556,13,14,26,4
CHA,C,2023-24,16.666666666666668,13.333333333333334,2.0,0.0,14,2,30,29
CHA,C,2024-25,16.5,4.5,4.0,1.0,17,24,9,19
CHA,C,2025-26,3.0,9.0,2.0,0.0,30,13,29,29
CHA,F,2023-24,8.25,4.375,1.125,0.625,5,5,11,4
CHA,F,2024-25,7.785714285714286,2.7142857142857144,1.2857142857142858,1.2142857142857142,11,23,15,6
CHA,F,2025-26,9.777777777777779,4.111111111111111,1.4444444444444444,1.2222222222222223,8,11,17,14
CHI,C,2023-24,19.75,9.25,5.75,1.5,8,10,2,8
CHI,C,2024-25,21.0,3.8,4.4,1.6,6,28,7,10
CHI,C,2025-26,17.333333333333332,10.0,4.666666666666667,1.0,20,8,15,18
CHI,F,2023-24,5.333333333333333,3.0,0.6666666666666666,0.16666666666666666,19,20,24,25
CHI,F,2024-25,10.333333333333334,3.6666666666666665,1.75,1.3333333333333333,1,11,4,2
CHI,F,2025-26,11.444444444444445,4.666666666666667,1.8888888888888888,1.2222222222222223,3,6,8,14
