TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
ATL,C,2023-24,17.625514403292183,9.551440329218106,3.6296296296296298,0.9423868312757202,5,6,9,11
ATL,C,2024-25,17.140350877192983,8.663157894736843,3.6140350877192984,1.0596491228070175,2,18,7,1
ATL,C,2025-26,15.537313432835822,8.26865671641791,3.4378109452736316,0.8656716417910447,15,16,11,19
ATL,F,2023-24,8.157247037374658,2.9972652689152235,1.698268003646308,1.0323609845031905,4,10,10,5
ATL,F,2024-25,7.771884432945235,2.808106942647693,1.6865028029322984,1.0107805088400172,3,19,4,8
ATL,F,2025-26,7.949941107184923,3.1849234393404005,1.631919905771496,0.9664310954063604,13,4,18,20
ATL,G,2023-24,17.060606060606062,3.5946969696969697,5.75,2.246212121212121,13,15,7,6
ATL,G,2024-25,15.891525423728813,3.4271186440677965,5.250847457627119,2.1728813559322036,12,12,12,3
ATL,G,2025-26,15.34375,3.2410714285714284,4.982142857142857,1.8348214285714286,17,12,11,12
BKN,C,2023-24,16.129032258064516,9.278225806451612,3.0725806451612905,0.9596774193548387,22,9,29,9
BKN,C,2024-25,15.683018867924527,8.875471698113207,3.6452830188679246,0.8415094339622642,13,15,6,17
BKN,C,2025-26,15.086363636363636,7.663636363636364,2.731818181818182,0.6272727272727273,17,24,29,30
BKN,F,2023-24,7.53640206669798,3.005166744950681,1.5979333020197275,0.9145138562705496,21,9,21,21
BKN,F,2024-25,7.176619007569386,2.833052985702271,1.5248107653490328,0.9137931034482759,22,16,17,26
BKN,F,2025-26,8.102689486552567,2.954156479217604,1.8526894865525672,0.976161369193154,8,17,2,17
BKN,G,2023-24,17.675,3.7285714285714286,5.1535714285714285,2.2357142857142858,8,9,21,9
BKN,G,2024-25,15.386292834890966,3.174454828660436,5.205607476635514,1.8317757009345794,21,29,14,26
BKN,G,2025-26,13.954545454545455,3.140909090909091,4.509090909090909,1.709090909090909,27,15,24,23
BOS,C,2023-24,14.890688259109313,9.040485829959515,3.473684210526316,0.8097165991902834,29,17,16,22
BOS,C,2024-25,14.30035335689046,8.992932862190813,2.8975265017667846,0.734982332155477,26,10,28,27
BOS,C,2025-26,14.402912621359222,7.849514563106796,2.9223300970873787,1.1893203883495145,23,21,25,1
BOS,F,2023-24,7.3937799043062205,2.945933014354067,1.5267942583732057,0.9559808612440192,26,20,27,16
BOS,F,2024-25,6.906412478336222,2.8240901213171576,1.4276429809358753,0.9393414211438474,29,17,26,21
BOS,F,2025-26,7.2748538011695905,2.8198830409356725,1.504093567251462,1.0140350877192983,30,26,27,11
