SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON
22025,1627783.0,22500914,"Mar 06, 2026",IND @ LAL,L,29.26,10.0,20.0,0.5,0.0,3.0,0.0,6.0,9.0,0.667,0.0,5.0,5.0,3.0,2.0,0.0,2.0,1.0,26.0,-8.0,0,Pascal Siakam,2025-26
22025,1628379.0,22500914,"Mar 06, 2026",LAL vs. IND,W,26.43,6.0,9.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,1.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,15.0,26.0,0,Luke Kennard,2025-26
22025,1629020.0,22500914,"Mar 06, 2026",LAL vs. IND,W,21.07,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,3.0,1.0,0.0,1.0,2.0,2.0,12.0,0,Jarred Vanderbilt,2025-26
22025,1629029.0,22500914,"Mar 06, 2026",LAL vs. IND,W,31.41,14.0,25.0,0.56,7.0,14.0,0.5,9.0,10.0,0.9,0.0,9.0,9.0,5.0,3.0,2.0,3.0,1.0,44.0,20.0,0,Luka Doncic,2025-26
22025,1629060.0,22500914,"Mar 06, 2026",LAL vs. IND,W,23.11,5.0,8.0,0.625,2.0,3.0,0.667,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,0,Rui Hachimura,2025-26
22025,1629614.0,22500914,"Mar 06, 2026",IND @ LAL,L,31.08,7.0,14.0,0.5,1.0,6.0,0.167,2.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,0.0,1.0,3.0,17.0,-14.0,0,Andrew Nembhard,2025-26
22025,1629637.0,22500914,"Mar 06, 2026",LAL vs. IND,W,25.21,3.0,6.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,9.0,2.0,0,Jaxson Hayes,2025-26
22025,1630167.0,22500914,"Mar 06, 2026",IND @ LAL,L,10.59,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,-12.0,0,Obi Toppin,2025-26
22025,1630174.0,22500914,"Mar 06, 2026",IND @ LAL,L,22.49,3.0,10.0,0.3,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,7.0,-4.0,0,Aaron Nesmith,2025-26
22025,1630559.0,22500914,"Mar 06, 2026",LAL vs. IND,W,28.35,6.0,14.0,0.429,1.0,4.0,0.25,6.0,7.0,0.857,0.0,2.0,2.0,5.0,0.0,0.0,3.0,6.0,19.0,-12.0,0,Austin Reaves,2025-26
22025,1630643.0,22500914,"Mar 06, 2026",IND @ LAL,L,33.13,6.0,13.0,0.462,2.0,6.0,0.333,2.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,0.0,1.0,16.0,2.0,0,Jay Huff,2025-26
22025,1630695.0,22500914,"Mar 06, 2026",IND @ LAL,L,14.09,2.0,3.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,0,Micah Potter,2025-26
22025,1631166.0,22500914,"Mar 06, 2026",LAL vs. IND,W,22.39,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,0,Drew Timme,2025-26
22025,1631222.0,22500914,"Mar 06, 2026",LAL vs. IND,W,15.53,3.0,7.0,0.429,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,13.0,0,Jake LaRavia,2025-26
22025,1631245.0,22500914,"Mar 06, 2026",IND @ LAL,L,17.45,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,-12.0,0,Quenton Jackson,2025-26
22025,1641716.0,22500914,"Mar 06, 2026",IND @ LAL,L,26.51,4.0,9.0,0.444,1.0,3.0,0.333,1.0,2.0,0.5,1.0,8.0,9.0,5.0,1.0,0.0,2.0,2.0,10.0,9.0,0,Jarace Walker,2025-26
22025,1641723.0,22500914,"Mar 06, 2026",LAL vs. IND,W,3.42,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-7.0,0,Kobe Bufkin,2025-26
22025,1641738.0,22500914,"Mar 06, 2026",IND @ LAL,L,9.57,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,-4.0,0,Kobe Brown,2025-26
22025,1641767.0,22500914,"Mar 06, 2026",IND @ LAL,L,25.58,2.0,6.0,0.333,1.0,5.0,0.2,0.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0,3.0,5.0,-8.0,0,Ben Sheppard,2025-26
22025,1642261.0,22500914,"Mar 06, 2026",LAL vs. IND,W,3.42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,-7.0,0,Dalton Knecht,2025-26
22025,1642355.0,22500914,"Mar 06, 2026",LAL vs. IND,W,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0,Bronny James,2025-26
22025,1642876.0,22500914,"Mar 06, 2026",LAL vs. IND,W,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Adou Thiero,2025-26
22025,1642880.0,22500914,"Mar 06, 2026",IND @ LAL,L,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kam Jones,2025-26
22025,1643024.0,22500914,"Mar 06, 2026",LAL vs. IND,W,3.42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-7.0,0,Chris Manon,2025-26
22025,203935.0,22500914,"Mar 06, 2026",LAL vs. IND,W,28.46,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,11.0,8.0,0,Marcus Smart,2025-26
22025,204456.0,22500914,"Mar 06, 2026",IND @ LAL,L,17.47,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,10.0,-9.0,0,T.J. McConnell,2025-26
22025,1627739.0,22500913,"Mar 06, 2026",LAC @ SAN,L,31.24,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,0.0,0.0,2.0,3.0,4.0,-12.0,0,Kris Dunn,2025-26
22025,1627884.0,22500913,"Mar 06, 2026",LAC @ SAN,L,33.39,4.0,12.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,12.0,3.0,0,Derrick Jones Jr.,2025-26
22025,1628368.0,22500913,"Mar 06, 2026",SAN vs. LAC,W,30.16,9.0,18.0,0.5,1.0,8.0,0.125,0.0,0.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,2.0,2.0,19.0,10.0,0,De'Aaron Fox,2025-26
22025,1628436.0,22500913,"Mar 06, 2026",SAN vs. LAC,W,24.1,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,2.0,0.0,1.0,2.0,2.0,10.0,-7.0,0,Luke Kornet,2025-26
22025,1629162.0,22500913,"Mar 06, 2026",SAN vs. LAC,W,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Jordan McLaughlin,2025-26
22025,1629640.0,22500913,"Mar 06, 2026",SAN vs. LAC,W,21.31,4.0,9.0,0.444,2.0,3.0,0.667,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,10.0,-7.0,0,Keldon Johnson,2025-26
22025,1630170.0,22500913,"Mar 06, 2026",SAN vs. LAC,W,34.55,4.0,13.0,0.308,2.0,8.0,0.25,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,11.0,6.0,0,Devin Vassell,2025-26
