SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON
22025,1630639,0022500736,"Feb 05, 2026",TOR vs. CHI,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,A.J. Lawson,2025-26
22025,1630639,0022500626,"Jan 21, 2026",TOR @ SAC,W,3,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-4,1,A.J. Lawson,2025-26
22025,1630639,0022500618,"Jan 20, 2026",TOR @ GSW,W,11,2,3,0.667,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,6,3,1,A.J. Lawson,2025-26
22025,1630639,0022500607,"Jan 18, 2026",TOR @ LAL,L,6,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,0,0,0,0,1,5,-2,1,A.J. Lawson,2025-26
22025,1630639,0022500590,"Jan 16, 2026",TOR vs. LAC,L,13,0,2,0.0,0,1,0.0,0,0,0.0,2,1,3,2,1,0,2,2,0,-2,1,A.J. Lawson,2025-26
22025,1630639,0022500571,"Jan 14, 2026",TOR @ IND,W,17,2,5,0.4,1,3,0.333,0,0,0.0,1,5,6,0,0,1,0,2,5,-18,1,A.J. Lawson,2025-26
22025,1630639,0022500560,"Jan 12, 2026",TOR vs. PHI,L,17,5,9,0.556,3,6,0.5,1,1,1.0,0,1,1,1,0,0,0,2,14,1,1,A.J. Lawson,2025-26
22025,1630639,0022500550,"Jan 11, 2026",TOR vs. PHI,W,10,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,0,2,0,1,2,2,4,1,A.J. Lawson,2025-26
22025,1630639,0022500532,"Jan 09, 2026",TOR @ BOS,L,6,1,4,0.25,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,0,3,2,1,A.J. Lawson,2025-26
22025,1630639,0022500425,"Dec 26, 2025",TOR @ WAS,L,7,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,1,0,0,0,2,-7,1,A.J. Lawson,2025-26
22025,1630639,0022501202,"Dec 09, 2025",TOR vs. NYK,L,3,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,2,0,0,2,-2,1,A.J. Lawson,2025-26
22025,1630639,0022500358,"Dec 07, 2025",TOR vs. BOS,L,13,4,8,0.5,2,3,0.667,0,0,0.0,1,4,5,0,0,0,0,5,10,-5,1,A.J. Lawson,2025-26
22024,1630639,0022401197,"Apr 13, 2025",TOR @ SAS,L,21,3,7,0.429,1,4,0.25,7,7,1.0,0,0,0,0,0,0,1,1,14,-5,1,A.J. Lawson,2024-25
22024,1630639,0022401178,"Apr 11, 2025",TOR @ DAL,L,32,3,10,0.3,1,4,0.25,5,6,0.833,2,8,10,2,1,0,0,3,12,-10,1,A.J. Lawson,2024-25
22024,1630639,0022401158,"Apr 09, 2025",TOR vs. CHA,W,28,5,9,0.556,2,5,0.4,2,4,0.5,2,4,6,7,1,0,0,1,14,18,1,A.J. Lawson,2024-25
22024,1630639,0022401134,"Apr 06, 2025",TOR @ BKN,W,22,5,9,0.556,1,3,0.333,2,3,0.667,0,1,1,0,2,0,2,2,13,-6,1,A.J. Lawson,2024-25
22024,1630639,0022401121,"Apr 04, 2025",TOR vs. DET,L,23,2,7,0.286,1,4,0.25,4,6,0.667,1,2,3,1,1,2,1,2,9,-2,1,A.J. Lawson,2024-25
22024,1630639,0022401116,"Apr 03, 2025",TOR vs. POR,L,18,6,8,0.75,1,2,0.5,0,1,0.0,1,2,3,4,2,0,3,4,13,5,1,A.J. Lawson,2024-25
22024,1630639,0022401099,"Apr 01, 2025",TOR @ CHI,L,13,5,6,0.833,2,3,0.667,1,2,0.5,1,5,6,1,0,0,0,2,13,-4,1,A.J. Lawson,2024-25
22024,1630639,0022401087,"Mar 30, 2025",TOR @ PHI,W,5,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,-1,1,A.J. Lawson,2024-25
22024,1630639,0022401069,"Mar 28, 2025",TOR vs. CHA,W,9,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,2,0,0,2,-7,1,A.J. Lawson,2024-25
22024,1630639,0022401054,"Mar 26, 2025",TOR @ BKN,W,16,1,6,0.167,0,4,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,1,1,A.J. Lawson,2024-25
22024,1630639,0022401039,"Mar 24, 2025",TOR @ WAS,W,23,3,7,0.429,1,3,0.333,1,2,0.5,0,2,2,2,2,0,0,1,8,6,1,A.J. Lawson,2024-25
22024,1630639,0022401005,"Mar 20, 2025",TOR @ GSW,L,10,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0,1,A.J. Lawson,2024-25
22024,1630639,0022400991,"Mar 17, 2025",TOR @ PHX,L,25,4,9,0.444,2,5,0.4,2,2,1.0,0,3,3,0,1,0,1,2,12,-32,1,A.J. Lawson,2024-25
22024,1630639,0022400980,"Mar 16, 2025",TOR @ POR,L,33,4,14,0.286,1,6,0.167,0,0,0.0,2,6,8,6,0,0,1,3,9,-10,1,A.J. Lawson,2024-25
22024,1630639,0022400966,"Mar 14, 2025",TOR @ UTA,W,24,6,10,0.6,2,5,0.4,4,6,0.667,1,4,5,0,0,0,1,2,18,10,1,A.J. Lawson,2024-25
22024,1630639,0022400947,"Mar 12, 2025",TOR vs. PHI,W,36,10,20,0.5,4,9,0.444,4,6,0.667,1,5,6,4,0,0,3,4,28,1,1,A.J. Lawson,2024-25
22024,1630639,0022400932,"Mar 10, 2025",TOR vs. WAS,W,33,9,21,0.429,7,14,0.5,7,11,0.636,3,9,12,0,1,0,1,4,32,15,1,A.J. Lawson,2024-25
22024,1630639,0022400915,"Mar 08, 2025",TOR vs. WAS,L,32,2,11,0.182,1,7,0.143,2,2,1.0,2,1,3,2,1,0,0,3,7,-8,1,A.J. Lawson,2024-25
22024,1630639,0022400905,"Mar 07, 2025",TOR vs. UTA,W,27,2,13,0.154,1,9,0.111,1,2,0.5,2,1,3,1,1,0,0,3,6,14,1,A.J. Lawson,2024-25
22024,1630639,0022400883,"Mar 04, 2025",TOR @ ORL,W,26,5,6,0.833,3,4,0.75,0,0,0.0,0,2,2,1,0,2,0,3,13,-8,1,A.J. Lawson,2024-25
22024,1630639,0022400870,"Mar 02, 2025",TOR @ ORL,W,14,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,16,1,A.J. Lawson,2024-25
22024,1630639,0022400816,"Feb 23, 2025",TOR vs. PHX,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,A.J. Lawson,2024-25
22024,1630639,0022400608,"Jan 21, 2025",TOR vs. ORL,W,1,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,-3,1,A.J. Lawson,2024-25
22024,1630639,0022400449,"Dec 31, 2024",TOR @ BOS,L,4,0,3,0.0,0,3,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-8,1,A.J. Lawson,2024-25
22024,1630639,0022400414,"Dec 26, 2024",TOR @ MEM,L,5,2,3,0.667,1,1,1.0,1,2,0.5,0,2,2,0,0,0,0,0,6,-4,1,A.J. Lawson,2024-25
22024,1630639,0022400397,"Dec 23, 2024",TOR @ NYK,L,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,5,1,A.J. Lawson,2024-25
22023,1630639,0022301196,"Apr 14, 2024",DAL @ OKC,L,24,5,13,0.385,0,5,0.0,2,2,1.0,1,4,5,2,0,0,1,1,12,-18,1,A.J. Lawson,2023-24
22023,1630639,0022301181,"Apr 12, 2024",DAL vs. DET,L,22,1,6,0.167,0,2,0.0,0,0,0.0,1,5,6,2,0,0,2,0,2,-4,1,A.J. Lawson,2023-24
22023,1630639,0022301161,"Apr 10, 2024",DAL @ MIA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,4,1,A.J. Lawson,2023-24
22023,1630639,0022301144,"Apr 09, 2024",DAL @ CHA,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,2,1,A.J. Lawson,2023-24
22023,1630639,0022301097,"Apr 05, 2024",DAL vs. GSW,W,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1,A.J. Lawson,2023-24
22023,1630639,0022301124,"Apr 04, 2024",DAL vs. ATL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,A.J. Lawson,2023-24
22023,1630639,0022301083,"Mar 31, 2024",DAL @ HOU,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,A.J. Lawson,2023-24
22023,1630639,0022301047,"Mar 26, 2024",DAL @ SAC,W,5,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6,7,1,A.J. Lawson,2023-24
22023,1630639,0022301041,"Mar 25, 2024",DAL @ UTA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,A.J. Lawson,2023-24
22023,1630639,0022301008,"Mar 21, 2024",DAL vs. UTA,W,1,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1,A.J. Lawson,2023-24
22023,1630639,0022300952,"Mar 13, 2024",DAL vs. GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,A.J. Lawson,2023-24
22023,1630639,0022300935,"Mar 11, 2024",DAL @ CHI,W,6,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,1,1,0,0,1,3,2,1,A.J. Lawson,2023-24
22023,1630639,0022300919,"Mar 09, 2024",DAL @ DET,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,1,A.J. Lawson,2023-24
22023,1630639,0022300892,"Mar 05, 2024",DAL vs. IND,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,A.J. Lawson,2023-24
22023,1630639,0022300844,"Feb 28, 2024",DAL @ TOR,W,1,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1,1,A.J. Lawson,2023-24
22023,1630639,0022300785,"Feb 14, 2024",DAL vs. SAS,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-2,1,A.J. Lawson,2023-24
22023,1630639,0022300768,"Feb 12, 2024",DAL vs. WAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,A.J. Lawson,2023-24
22023,1630639,0022300748,"Feb 10, 2024",DAL vs. OKC,W,6,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,2,5,0,1,A.J. Lawson,2023-24
