PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,SEASON
1627739,Kris Dunn,LAC,F,2025-26
1641724,Jett Howard,ORL,F,2025-26
203992,Bogdan Bogdanovic,LAC,F,2025-26
202695,Kawhi Leonard,LAC,F,2025-26
201587,Nicolas Batum,LAC,F,2025-26
201572,Brook Lopez,LAC,F,2025-26
1642949,Yanic Konan Niederhauser,LAC,F,2025-26
1642920,Kobe Sanders,LAC,F,2025-26
1642869,Noah Penda,ORL,F,2025-26
1642859,Jase Richardson,ORL,F,2025-26
1642353,Cam Christie,LAC,F,2025-26
1641783,Tristan da Silva,ORL,F,2025-26
1641757,Jordan Miller,LAC,F,2025-26
1627884,Derrick Jones Jr.,LAC,F,2025-26
1641710,Anthony Black,ORL,F,2025-26
1629048,Goga Bitadze,ORL,F,2025-26
1631288,Jamal Cain,ORL,F,2025-26
1628371,Jonathan Isaac,ORL,F,2025-26
1628975,Jevon Carter,ORL,F,2025-26
1628976,Wendell Carter Jr.,ORL,C,2025-26
1629021,Moritz Wagner,ORL,F,2025-26
1630217,Desmond Bane,ORL,G,2025-26
1630543,Isaiah Jackson,LAC,F,2025-26
1631094,Paolo Banchero,ORL,C,2025-26
1631097,Bennedict Mathurin,LAC,F,2025-26
1631102,TyTy Washington Jr.,LAC,F,2025-26
1630249,Vit Krejci,POR,F,2025-26
1631104,Blake Wesley,POR,F,2025-26
1631101,Shaedon Sharpe,POR,F,2025-26
1630703,Scoot Henderson,POR,F,2025-26
1630587,Isaiah Livers,PHX,F,2025-26
1629057,Robert Williams III,POR,F,2025-26
1630224,Jalen Green,PHX,F,2025-26
1630166,Deni Avdija,POR,F,2025-26
1629680,Matisse Thybulle,POR,F,2025-26
1629599,Amir Coffey,PHX,F,2025-26
1631123,Jamaree Bouyea,PHX,F,2025-26
1631109,Mark Williams,PHX,C,2025-26
1642345,Oso Ighodaro,PHX,F,2025-26
1631200,Kris Murray,POR,F,2025-26
1631221,Collin Gillespie,PHX,G,2025-26
1631321,Sidy Cissoko,POR,F,2025-26
1641739,Toumani Camara,POR,F,2025-26
1642270,Donovan Clingan,POR,C,2025-26
1642346,Ryan Dunn,PHX,F,2025-26
1642853,Rasheer Fleming,PHX,F,2025-26
1642863,Khaman Maluach,PHX,F,2025-26
1642886,Koby Brea,PHX,F,2025-26
201950,Jrue Holiday,POR,F,2025-26
203924,Jerami Grant,POR,F,2025-26
203903,Jordan Clarkson,NYK,F,2025-26
1626220,Royce O'Neale,PHX,F,2025-26
1641824,Matas Buzelis,CHI,F,2025-26
1642950,Lachlan Olbrich,CHI,F,2025-26
1630208,Nick Richards,CHI,F,2025-26
1626157,Karl-Anthony Towns,NYK,C,2025-26
1627824,Guerschon Yabusele,CHI,F,2025-26
1628384,OG Anunoby,NYK,F,2025-26
1628404,Josh Hart,NYK,C,2025-26
1628969,Mikal Bridges,NYK,G,2025-26
1628973,Jalen Brunson,NYK,G,2025-26
1642885,Mohamed Diawara,NYK,F,2025-26
1629013,Landry Shamet,NYK,F,2025-26
1630171,Isaac Okoro,CHI,F,2025-26
1630172,Patrick Williams,CHI,F,2025-26
1630188,Jalen Smith,CHI,F,2025-26
1630200,Tre Jones,CHI,G,2025-26
1629012,Collin Sexton,CHI,F,2025-26
1630574,Ariel Hukporti,NYK,F,2025-26
1641794,Dillon Jones,NYK,F,2025-26
1630581,Josh Giddey,CHI,C,2025-26
1642530,Yuki Kawamura,CHI,F,2025-26
1642278,Tyler Kolek,NYK,F,2025-26
1642265,Rob Dillingham,CHI,F,2025-26
1641998,Trey Jemison III,NYK,F,2025-26
1631159,Leonard Miller,CHI,F,2025-26
1631110,Jeremy Sochan,NYK,F,2025-26
1630644,Mac McClung,CHI,F,2025-26
1630631,Jose Alvarado,NYK,F,2025-26
1641740,Jaylen Clark,MIN,F,2025-26
1642911,Rocco Zikarsky,MIN,F,2025-26
1641763,Julian Phillips,MIN,F,2025-26
1642348,Justin Edwards,PHI,F,2025-26
1642845,VJ Edgecombe,PHI,F,2025-26
1642866,Joan Beringer,MIN,F,2025-26
204060,Joe Ingles,MIN,F,2025-26
200768,Kyle Lowry,PHI,F,2025-26
201144,Mike Conley,MIN,F,2025-26
203083,Andre Drummond,PHI,F,2025-26
203497,Rudy Gobert,MIN,C,2025-26
203944,Julius Randle,MIN,F,2025-26
1631230,Dominick Barlow,PHI,F,2025-26
1641737,Adem Bona,PHI,F,2025-26
1630183,Jaden McDaniels,MIN,F,2025-26
