SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2023-24,78,35,44.4,90.1,14.0,36.5,17.2,21.7,10.6,33.8,44.3,28.0,14.0,7.8,5.5,19.3,119.9,-1.9,242.2,43,0.449,0.493,0.383,0.79,1,21,10,21,4,24,20,27,27,22,28,15,17,20,12,21,20,25,22,21,22,23,27,21,0.0,0.0,1,1,1610612737,Atlanta Hawks,ATL
2024-25,81,40,43.5,90.4,14.3,37.9,18.2,22.7,10.4,33.3,43.7,28.3,15.2,9.2,4.9,19.0,119.6,-1.1,241.2,41,0.494,0.482,0.379,0.801,24,16,15,16,14,25,20,28,27,16,29,24,23,30,5,17,11,24,27,27,15,21,29,18,0.0,0.0,1,1,1610612737,Atlanta Hawks,ATL
2025-26,59,28,43.0,90.6,13.3,37.1,19.0,23.8,11.8,35.0,46.8,27.3,14.7,8.8,5.1,18.5,118.3,-1.4,240.8,31,0.475,0.475,0.358,0.797,1,17,10,18,27,23,21,20,16,18,13,19,18,24,20,28,26,21,21,19,19,4,24,19,0.0,0.0,1,1,1610612737,Atlanta Hawks,ATL
2023-24,77,61,41.5,91.9,12.9,36.9,13.3,17.3,11.2,32.1,43.4,24.8,12.1,6.3,3.7,17.2,109.3,11.7,241.9,16,0.792,0.452,0.349,0.771,23,1,30,1,7,13,27,2,14,23,1,1,1,5,27,8,15,5,1,2,1,1,5,1,0.0,0.0,1,1,1610612738,Boston Celtics,BOS
2024-25,82,61,40.3,89.4,12.9,37.1,13.8,17.7,10.7,33.0,43.7,24.0,12.0,6.9,3.6,17.5,107.2,9.1,241.8,21,0.744,0.45,0.347,0.777,2,3,28,3,6,4,17,2,5,10,3,1,1,13,9,14,11,3,4,2,1,3,2,3,0.0,0.0,1,1,1610612738,Boston Celtics,BOS
2025-26,56,37,38.4,86.8,14.0,38.9,17.2,21.9,11.3,30.8,42.1,25.0,12.5,6.1,4.2,18.4,108.0,7.2,240.9,19,0.661,0.443,0.36,0.784,20,4,27,4,19,3,5,3,23,24,16,6,4,15,11,6,7,7,5,1,4,3,2,3,0.0,0.0,1,1,1610612738,Boston Celtics,BOS
2023-24,78,45,40.6,87.2,12.6,33.7,16.5,20.9,9.9,32.7,42.6,25.4,13.5,7.6,5.0,18.7,110.2,2.2,241.3,33,0.577,0.465,0.373,0.789,1,9,19,11,16,7,10,7,12,7,22,11,11,18,5,12,10,6,13,19,15,16,7,11,0.0,0.0,1,1,1610612739,Cleveland Cavaliers,CLE
2024-25,82,64,41.2,90.9,13.5,37.5,16.5,21.1,11.5,32.0,43.5,25.6,13.5,7.8,4.4,18.9,112.4,9.5,240.9,18,0.78,0.454,0.359,0.779,2,2,29,2,18,10,22,3,13,13,11,12,9,16,18,8,10,8,15,9,8,17,11,2,0.0,0.0,1,1,1610612739,Cleveland Cavaliers,CLE
2025-26,58,36,41.2,89.6,14.1,38.0,18.8,23.6,11.7,32.1,43.9,26.8,15.0,8.8,4.4,20.2,115.4,4.3,240.9,22,0.621,0.46,0.372,0.796,2,6,22,6,19,10,18,8,24,20,28,17,17,23,19,11,14,13,24,19,7,15,15,9,0.0,0.0,1,1,1610612739,Cleveland Cavaliers,CLE
2023-24,76,45,40.4,87.1,13.6,38.8,16.1,20.4,10.0,32.1,42.1,26.7,14.3,6.5,5.2,18.3,110.4,4.5,240.3,31,0.592,0.464,0.351,0.787,27,9,22,9,26,5,9,5,24,29,4,9,7,17,6,8,5,15,26,3,19,12,8,5,0.0,0.0,1,1,1610612740,New Orleans Pelicans,NOP
2024-25,81,21,43.7,90.5,14.7,40.2,17.2,21.9,11.9,33.8,45.7,28.6,13.2,9.0,5.2,18.0,119.4,-9.5,240.9,60,0.259,0.483,0.365,0.788,24,27,4,27,18,27,21,29,29,29,23,18,18,22,26,22,27,27,14,25,21,6,27,28,0.0,0.0,1,1,1610612740,New Orleans Pelicans,NOP
