TEAM_ABBREVIATION,SEASON,POSITION,GP,PTS,AST,REB,FG3M,PTS_RANK,AST_RANK,REB_RANK,FG3M_RANK
ATL,2024,C,51,14.8,3.0,9.1,0.5,6,8,9,5
ATL,2024,F,271,7.1,1.6,2.9,0.9,10,4,9,10
ATL,2024,G,47,10.9,4.6,2.9,1.2,1,1,1,1
ATL,2025,C,50,14.9,3.0,8.1,0.7,8,8,8,8
ATL,2025,F,298,6.0,1.3,2.6,0.6,1,1,1,1
ATL,2025,G,65,13.0,4.6,3.0,1.1,5,3,1,1
ATL,2026,C,32,15.6,3.2,7.8,0.9,9,10,2,14
ATL,2026,F,237,6.6,1.3,2.3,0.7,3,2,1,1
ATL,2026,G,41,14.4,5.0,3.3,1.6,8,6,9,7
CHI,2024,C,51,16.0,3.3,8.7,0.5,8,10,7,5
CHI,2024,F,270,6.8,1.7,2.8,0.7,8,10,6,2
CHI,2024,G,46,14.0,5.0,3.2,1.5,9,7,3,8
CHI,2025,C,52,14.3,3.1,6.5,0.9,5,10,1,13
CHI,2025,F,302,6.9,1.5,2.9,0.8,9,5,6,5
CHI,2025,G,66,14.5,5.0,3.4,1.7,12,7,5,12
CHI,2026,C,34,17.1,3.6,9.7,0.7,13,13,14,10
CHI,2026,F,246,7.0,1.3,2.9,0.7,6,2,14,1
CHI,2026,G,39,14.8,5.4,3.8,1.3,12,8,15,2
CON,2024,C,52,13.9,2.4,8.2,0.4,2,3,2,2
CON,2024,F,276,5.7,1.5,2.5,0.6,1,2,1,1
CON,2024,G,50,12.8,4.7,3.0,1.2,5,3,2,1
CON,2025,C,54,15.6,3.3,8.4,0.7,11,12,10,8
CON,2025,F,319,6.5,1.5,2.7,0.8,5,5,2,5
CON,2025,G,62,13.8,4.9,3.9,1.5,8,6,12,7
CON,2026,C,29,15.3,2.5,8.0,0.4,6,1,4,1
CON,2026,F,238,7.0,1.5,2.8,0.7,6,11,11,1
CON,2026,G,39,14.9,5.1,2.8,1.7,13,7,3,10
DAL,2024,C,51,17.3,3.3,8.3,0.7,11,10,3,11
DAL,2024,F,287,7.7,1.8,2.6,0.9,12,12,2,10
DAL,2024,G,47,12.8,5.1,3.3,1.2,5,9,5,1
DAL,2025,C,55,15.2,3.0,7.5,0.7,9,8,2,8
DAL,2025,F,305,7.3,1.7,2.9,0.9,13,12,6,10
DAL,2025,G,62,12.9,5.4,3.6,1.6,4,13,8,10
DAL,2026,C,38,18.0,2.9,8.7,0.6,14,6,7,7
DAL,2026,F,229,6.7,1.3,2.7,0.7,4,2,10,1
DAL,2026,G,47,13.6,5.7,3.4,1.5,4,10,11,3
GSV,2025,C,52,14.1,2.7,7.9,0.5,3,3,5,4
GSV,2025,F,292,6.2,1.4,2.9,0.9,2,3,6,10
