PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,SEASON
1630142,Leonie Fiebich,NYL,F,2024
1630442,Natasha Mack,PHO,F,2024
204329,Kiah Stokes,LVA,F,2024
1628922,Azura Stevens,LAS,C,2024
1631007,Veronica Burton,CON,F,2024
1629501,Alanna Smith,MIN,F,2024
1629567,Natisha Hiedeman,MIN,F,2024
203024,Damiris Dantas,IND,F,2024
204365,Erica Wheeler,IND,F,2024
1627701,Temi Fagbenle,IND,F,2024
1629478,Katie Lou Samuelson,IND,F,2024
1641648,Aliyah Boston,IND,C,2024
1641658,Grace Berger,IND,F,2024
204330,Isabelle Harrison,CHI,F,2024
1629488,Brianna Turner,CHI,F,2024
1628277,Allisha Gray,ATL,F,2024
203866,Kayla Thornton,NYL,F,2024
1627668,Breanna Stewart,NYL,C,2024
203398,Brittney Griner,PHO,C,2024
202641,Sydney Colson,LVA,F,2024
1629484,Megan Gustafson,LVA,F,2024
1628915,Kia Nurse,LAS,F,2024
1641660,Zia Cooke,LAS,F,2024
1642288,Rickea Jackson,LAS,F,2024
1642292,Jacy Sheldon,DAL,F,2024
1631021,Sika Kone,WAS,F,2024
1631141,Jade Melbourne,WAS,F,2024
201886,DeWanna Bonner,CON,F,2024
1630112,Tyasha Harris,CON,F,2024
1628929,Kristy Wallace,IND,F,2024
1642286,Caitlin Clark,IND,F,2024
1628927,Victoria Vivians,SEA,F,2024
1630115,Joyner Holmes,SEA,F,2024
1628273,Kaela Davis,CHI,F,2024
1630446,Michaela Onyenwere,CHI,F,2024
1628269,Nia Coffey,ATL,F,2024
1630471,Maya Caldwell,ATL,F,2024
1642534,Ezinne Kalu,ATL,F,2024
204335,Betnijah Laney-Hamilton,NYL,F,2024
1629477,Sabrina Ionescu,NYL,G,2024
1642301,Marquesha Davis,NYL,F,2024
204333,Natasha Cloud,PHO,G,2024
1627674,Kahleah Copper,PHO,F,2024
1630114,Mikiah Herbert Harrigan,PHO,F,2024
203824,Odyssey Sims,LAS,G,2024
204324,Dearica Hamby,LAS,C,2024
1641652,Maddy Siegrist,DAL,F,2024
203828,Stefanie Dolson,WAS,F,2024
1628878,Ariel Atkins,WAS,F,2024
