TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,SEASON,GP,OPP_PTS,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,OPP_PTS_RANK,OPP_FG_PCT_RANK,OPP_FG3_PCT_RANK,OPP_REB_RANK,OPP_AST_RANK
1611661313,NYL,New York Liberty,2024,40,76.4,29.0,68.3,7.0,21.5,11.4,14.8,7.4,25.2,32.6,19.4,14.0,6.2,3.2,16.8,0.425,0.324,0.769,3,2,3,2,3
1611661313,NYL,New York Liberty,2025,44,80.3,29.7,70.0,8.2,26.0,12.8,17.3,9.7,25.7,35.3,19.8,13.7,7.0,3.3,16.8,0.424,0.315,0.74,6,3,1,10,7
1611661313,NYL,New York Liberty,2026,33,87.0,32.1,70.9,9.1,26.0,13.8,18.4,8.2,22.8,30.9,21.5,11.9,7.2,3.3,20.8,0.452,0.35,0.751,7,7,11,3,11
1611661317,PHO,Phoenix Mercury,2024,40,84.8,30.9,71.7,9.4,27.4,13.6,17.4,10.2,26.8,37.0,22.0,13.1,7.0,3.3,17.0,0.431,0.342,0.777,9,5,7,12,11
1611661317,PHX,Phoenix Mercury,2025,44,80.1,28.6,66.9,7.9,24.6,15.1,18.8,8.4,26.9,35.3,19.7,15.0,7.2,3.8,16.4,0.427,0.321,0.804,4,4,4,10,6
1611661317,PHX,Phoenix Mercury,2026,34,87.4,31.4,67.5,9.9,26.9,14.8,18.5,7.6,26.5,34.1,21.6,13.8,7.1,3.9,21.6,0.464,0.37,0.798,8,11,15,11,12
1611661319,LVA,Las Vegas Aces,2024,40,80.9,30.0,69.5,7.7,22.0,13.1,17.2,7.4,28.1,35.4,19.9,13.3,6.5,3.6,17.2,0.433,0.35,0.761,6,7,9,9,5
1611661319,LVA,Las Vegas Aces,2025,44,80.7,29.9,68.7,7.2,22.9,13.6,16.7,8.7,26.3,35.0,20.4,13.6,6.6,2.6,17.2,0.436,0.316,0.815,7,6,2,9,9
1611661319,LVA,Las Vegas Aces,2026,33,87.6,31.4,70.6,9.1,25.7,15.7,19.7,8.5,25.3,33.8,19.2,13.0,7.0,2.4,19.1,0.444,0.354,0.797,9,5,13,9,2
1611661320,LAS,Los Angeles Sparks,2024,40,85.6,31.7,68.2,7.9,21.8,14.4,18.3,8.0,26.0,34.0,21.3,13.5,8.8,5.1,18.0,0.464,0.36,0.786,10,11,10,6,8
1611661320,LAS,Los Angeles Sparks,2025,44,88.2,32.3,71.3,10.1,27.6,13.5,16.4,9.1,25.1,34.2,22.6,13.5,8.5,4.7,18.3,0.453,0.366,0.82,13,11,11,7,12
1611661320,LAS,Los Angeles Sparks,2026,31,93.6,33.9,70.8,9.6,27.7,16.2,20.4,9.4,25.7,35.0,22.6,14.2,8.3,4.3,21.4,0.479,0.348,0.797,14,14,10,13,14
1611661321,DAL,Dallas Wings,2024,40,92.1,33.5,70.5,8.6,23.4,16.6,20.6,8.8,24.2,33.0,23.1,13.7,8.0,4.6,17.5,0.475,0.365,0.806,12,12,12,3,12
1611661321,DAL,Dallas Wings,2025,44,88.0,30.7,66.8,9.6,24.7,17.0,21.8,8.1,26.4,34.5,23.0,13.5,7.6,4.7,17.6,0.459,0.388,0.783,12,12,13,8,13
1611661321,DAL,Dallas Wings,2026,33,86.2,31.5,68.2,7.9,23.0,15.3,19.2,7.9,26.0,33.8,20.4,13.0,5.8,3.5,18.2,0.462,0.345,0.796,5,8,7,9,7
1611661322,WAS,Washington Mystics,2024,40,82.3,29.3,66.1,7.8,23.3,15.9,20.0,8.2,27.2,35.4,20.1,16.1,8.3,3.4,18.2,0.443,0.333,0.795,7,9,6,9,6
1611661322,WAS,Washington Mystics,2025,44,81.6,29.3,66.0,8.0,24.2,14.9,18.7,7.3,25.0,32.3,20.0,13.7,8.0,3.9,19.6,0.444,0.33,0.796,9,8,7,2,8
1611661322,WAS,Washington Mystics,2026,31,82.6,29.4,69.4,8.6,26.5,15.2,19.6,8.2,22.7,30.9,19.6,13.3,9.1,4.8,23.7,0.424,0.326,0.774,2,1,3,3,3
1611661323,CON,Connecticut Sun,2024,40,73.6,27.2,63.0,6.4,20.6,12.8,16.5,7.0,24.7,31.7,19.1,16.3,7.0,4.6,18.1,0.431,0.313,0.779,1,5,2,1,2
1611661323,CON,Connecticut Sun,2025,44,86.0,30.5,65.4,8.4,24.1,16.6,21.1,8.8,26.5,35.3,21.6,14.8,7.3,3.8,17.5,0.466,0.349,0.79,11,13,10,10,11
1611661323,CON,Connecticut Sun,2026,31,86.8,29.9,64.8,8.0,22.9,18.9,24.1,7.9,24.8,32.7,19.9,15.3,7.6,4.5,20.2,0.462,0.351,0.785,6,8,12,6,5
1611661324,MIN,Minnesota Lynx,2024,40,75.6,28.2,68.7,6.8,22.7,12.4,15.8,9.4,25.9,35.3,18.6,15.7,7.4,3.6,15.6,0.41,0.301,0.788,2,1,1,8,1
1611661324,MIN,Minnesota Lynx,2025,44,76.7,28.4,67.2,7.8,23.7,12.0,15.4,9.0,24.3,33.3,18.8,15.4,6.7,2.8,16.4,0.423,0.331,0.775,2,2,8,5,1
1611661324,MIN,Minnesota Lynx,2026,34,83.8,29.7,68.5,9.1,27.5,15.3,19.3,9.1,23.6,32.6,20.5,15.8,6.9,3.3,16.4,0.434,0.33,0.794,3,3,4,5,9
1611661325,IND,Indiana Fever,2024,40,87.6,31.2,70.6,9.2,25.5,16.1,20.1,8.2,25.4,33.6,21.4,12.2,7.7,3.8,17.2,0.441,0.361,0.803,11,8,11,4,9
1611661325,IND,Indiana Fever,2025,44,81.5,29.5,65.7,7.1,21.7,15.3,19.5,7.9,24.8,32.7,19.4,15.2,6.7,3.9,19.0,0.449,0.329,0.786,8,9,6,4,4
1611661325,IND,Indiana Fever,2026,32,90.4,32.4,70.0,7.6,22.0,18.0,23.2,8.0,22.7,30.7,20.4,13.4,7.6,3.8,22.4,0.463,0.345,0.776,12,10,7,2,7
1611661327,PDX,Portland Fire,2026,32,91.8,32.1,68.3,9.0,26.2,18.6,23.6,9.7,23.9,33.6,23.5,14.5,8.1,4.5,18.7,0.47,0.344,0.787,13,12,6,8,15
1611661328,SEA,Seattle Storm,2024,40,78.8,28.8,67.7,6.9,21.0,14.2,18.2,8.9,27.2,36.0,19.5,16.3,7.6,4.6,16.4,0.426,0.329,0.784,4,3,5,11,4
1611661328,SEA,Seattle Storm,2025,44,80.1,29.2,66.1,7.1,21.2,14.5,18.2,8.3,27.6,36.0,19.6,16.1,6.8,4.2,16.6,0.443,0.336,0.793,4,7,9,13,5
1611661328,SEA,Seattle Storm,2026,34,88.6,30.6,70.1,8.7,27.3,18.8,22.6,9.7,25.8,35.5,20.9,13.8,8.4,3.7,17.4,0.436,0.318,0.832,10,4,2,14,10
1611661329,CHI,Chicago Sky,2024,40,82.5,30.0,67.4,7.1,21.7,15.4,19.8,7.8,26.0,33.8,21.7,13.5,7.8,5.8,17.0,0.446,0.326,0.773,8,10,4,5,10
1611661329,CHI,Chicago Sky,2025,44,85.8,30.9,68.3,9.4,25.7,14.7,19.1,8.7,23.9,32.6,21.4,11.9,9.5,5.5,16.7,0.452,0.366,0.768,10,10,11,3,10
1611661329,CHI,Chicago Sky,2026,32,89.9,31.6,70.8,7.6,24.1,19.2,24.0,9.6,27.6,37.2,20.2,14.0,7.4,5.2,20.2,0.446,0.317,0.798,11,6,1,15,6
1611661330,ATL,Atlanta Dream,2024,40,79.8,28.9,67.4,8.0,23.1,14.0,17.6,7.4,27.2,34.6,20.1,13.5,6.9,4.1,17.6,0.429,0.344,0.797,5,4,8,7,6
1611661330,ATL,Atlanta Dream,2025,44,76.8,29.0,67.5,6.6,20.5,12.2,15.8,7.0,24.4,31.4,18.8,12.2,6.5,3.6,17.0,0.429,0.321,0.775,3,5,4,1,1
1611661330,ATL,Atlanta Dream,2026,31,85.7,31.0,63.9,8.4,22.8,15.4,20.4,6.2,24.1,30.3,19.6,16.8,6.4,5.1,21.6,0.485,0.367,0.754,4,15,14,1,3
1611661331,GSV,Golden State Valkyries,2025,44,76.3,26.7,65.9,8.8,27.9,14.2,18.0,8.4,24.9,33.3,19.2,12.8,7.6,4.1,17.8,0.405,0.317,0.786,1,1,3,5,3
1611661331,GSV,Golden State Valkyries,2026,32,77.1,26.7,62.8,7.9,23.3,15.8,20.9,8.2,24.7,32.8,18.3,14.3,5.8,3.7,19.5,0.425,0.34,0.753,1,2,5,7,1
1611661332,TOR,Toronto Tempo,2026,31,93.7,33.4,70.5,9.3,27.0,17.6,22.2,10.1,24.5,34.6,22.0,13.0,7.2,3.7,19.7,0.474,0.345,0.792,15,13,7,12,13
