TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE
1611661313,NYL,New York Liberty,2024,40,32,200.0,30.8,68.7,10.1,29.0,14.0,17.2,8.4,28.1,36.6,22.8,13.8,7.9,4.5,15.4,85.6,9.2,8,0.8,0.448,0.349,0.814,97.9
1611661313,NYL,New York Liberty,2025,44,27,200.0,29.6,65.3,9.5,26.8,15.6,18.7,6.8,26.9,33.7,21.8,13.8,7.6,4.4,16.2,84.4,4.1,17,0.614,0.453,0.355,0.837,96.8
1611661313,NYL,New York Liberty,2026,33,20,201.5,31.1,66.8,10.3,28.9,18.3,21.4,8.1,26.9,35.0,20.9,15.0,6.1,4.2,18.5,90.7,3.7,13,0.606,0.465,0.355,0.853,99.0
1611661317,PHO,Phoenix Mercury,2024,40,19,201.2,29.1,66.3,8.5,26.2,14.7,18.4,6.7,25.6,32.3,19.8,14.1,6.6,4.7,16.9,81.4,-3.3,21,0.475,0.439,0.326,0.799,97.6
1611661317,PHX,Phoenix Mercury,2025,44,27,200.0,29.7,68.6,9.4,27.7,13.9,17.8,8.7,26.0,34.7,20.9,13.5,7.8,3.7,17.8,82.8,2.7,17,0.614,0.433,0.34,0.784,97.5
1611661317,PHX,Phoenix Mercury,2026,34,12,200.7,28.9,65.3,7.7,24.1,18.1,23.1,6.9,24.4,31.3,19.9,13.5,7.2,3.2,18.3,83.6,-3.9,22,0.353,0.442,0.321,0.783,98.2
1611661319,LVA,Las Vegas Aces,2024,40,27,200.6,30.9,68.1,9.4,26.4,15.2,18.3,5.6,28.5,34.1,20.5,11.6,7.0,5.0,16.5,86.4,5.5,13,0.675,0.454,0.355,0.828,98.4
1611661319,LVA,Las Vegas Aces,2025,44,30,200.0,29.7,67.6,9.1,25.9,15.2,18.5,8.1,25.4,33.5,19.6,13.0,7.5,4.9,16.6,83.6,2.9,14,0.682,0.439,0.351,0.824,96.8
1611661319,LVA,Las Vegas Aces,2026,33,22,201.5,33.3,68.3,8.4,23.4,16.0,20.0,7.5,26.3,33.8,22.2,12.4,6.9,5.0,17.8,91.0,3.4,11,0.667,0.488,0.358,0.8,97.7
1611661320,LAS,Los Angeles Sparks,2024,40,8,200.6,28.1,66.4,7.2,22.6,15.0,19.6,7.4,25.3,32.7,19.7,16.0,7.3,3.2,17.9,78.4,-7.2,32,0.2,0.423,0.32,0.765,100.0
1611661320,LAS,Los Angeles Sparks,2025,44,21,201.7,30.7,67.1,8.6,25.6,15.7,20.4,8.0,25.3,33.3,20.7,15.0,7.2,3.1,16.9,85.7,-2.6,23,0.477,0.457,0.337,0.769,98.9
1611661320,LAS,Los Angeles Sparks,2026,31,12,200.8,32.2,69.1,9.0,26.6,15.8,20.1,7.6,23.4,31.0,22.0,14.7,7.5,3.2,19.8,89.2,-4.4,19,0.387,0.467,0.337,0.786,101.5
1611661321,DAL,Dallas Wings,2024,40,9,201.9,31.6,71.0,6.2,19.2,14.6,18.6,10.5,24.3,34.8,20.4,15.6,7.1,4.0,18.5,84.2,-7.9,31,0.225,0.446,0.326,0.786,100.3
